Glyph,ALA-LC,Alone-Stokes,B&D,Campbell,Chaîne,Cohen,Dawkins,Dept of State,ethiop,SERA,ALA-LC_simp,Alone-Stokes_simp,B&D_simp,Campbell_simp,Chaîne_simp,Cohen_simp,Dawkins_simp,Dept of State_simp,ethiop_simp,SERA_simp
ቾ,čo,cho,čo,,tcho,čʷo,cho,co,čo,co,co,cho,co,,tcho,cwo,cho,co,co,co
ቿ,čwa,,,,,čwa,chwä,,čwā,cWa,cwa,,,,,cwa,chwa,,cwa,cwa
ኀ,ẖa,hā,hä/ḫä,ḫa,ḫă,ha,hä,ha,ẖa,‘he,ha,ha,ha/ha,ha,ha,ha,ha,ha,ha,'he
ኁ,ẖu,hu,hu/ḫu,ḫū,ḫu,hu,hu,hu,ẖu,‘hu,hu,hu,hu/hu,hu,hu,hu,hu,hu,hu,'hu
ኂ,ẖi,hī,hi/ḫi,ḫī,ḫi,hi,hi,hi,ẖi,‘hi,hi,hi,hi/hi,hi,hi,hi,hi,hi,hi,'hi
ኃ,ẖā,hā,ha/ḫa,ḫā,ḫa,ha,ha,ha,ẖā,‘ha,ha,ha,ha/ha,ha,ha,ha,ha,ha,ha,'ha
ኄ,ẖé,hē,he/ḫe,ḫē,ḫe,he,he,he,ẖē,‘hE,he,he,he/he,he,he,he,he,he,he,'he
ኅ,ẖe/ẖ,h/hi,hə/hø/ḫə/ḫø,ḫe,ḫĕ,h/hə,hï,hɪ,ẖe,‘h,he/h,h/hi,h@/ho/h@/ho,he,he,h/h@,hi,hi,he,'h
ኆ,ẖo,ho,ho/ḫo,ḫō,ḫo,hʷo,ho,ho,ẖo,‘ho,ho,ho,ho/ho,ho,ho,hwo,ho,ho,ho,'ho
ኈ,ẖwa,hwa,huä/ḫuä,ḫua,ḫuă,hwå,hwe,hwə,ẖwa,hWe,hwa,hwa,hua/hua,hua,hua,hwa,hwe,hw@,hwa,hwe
ኊ,ẖwi,hwī,hui/ḫui,ḫuī,ḫui,hwi,hwi,hwi,ẖwi,hWi,hwi,hwi,hui/hui,hui,hui,hwi,hwi,hwi,hwi,hwi
ኋ,ẖwā,hwā,hua/ḫua,ḫuā,ḫua,hwa,hwä,hwa,ẖwā,hWa,hwa,hwa,hua/hua,hua,hua,hwa,hwa,hwa,hwa,hwa
ኌ,ẖwé,hwē,hue/ḫue,ḫuē,ḫue,hwe,hwe,hwe,ẖwē,hWE,hwe,hwe,hue/hue,hue,hue,hwe,hwe,hwe,hwe,hwe
ኍ,ẖwe,hwi,huə/ḫuə,ḫue,ḫuĕ,hwə/hwŭ,hwï,hwɪ,ẖwe,hW,hwe,hwi,hu@/hu@,hue,hue,hw@/hwu,hwi,hwi,hwe,hw
ነ,na,na,nä,na,nă,nɑ,nä,nə,na,ne,na,na,na,na,na,na,na,n@,na,ne
ኑ,nu,nu,nu,nū,nu,nu,nu,nu,nu,nu,nu,nu,nu,nu,nu,nu,nu,nu,nu,nu
ኒ,ni,nī,ni,nī,ni,ni,ni,ni,ni,ni,ni,ni,ni,ni,ni,ni,ni,ni,ni,ni
ና,nā,nā,na,nāʼ,na,na,na,na,nā,na,na,na,na,na',na,na,na,na,na,na
ኔ,né,nē,ne,nē,ne,nʸe,ne,ne,nē,nE,ne,ne,ne,ne,ne,nye,ne,ne,ne,ne
ን,ne/n,n/ni,nə/nø,ne,nĕ,n/nə,nï,nɪ,ne,n,ne/n,n/ni,n@/no,ne,ne,n/n@,ni,ni,ne,n
ኖ,no,no,no,nō,no,nʷo,no,no,no,no,no,no,no,no,no,nwo,no,no,no,no
ኗ,nwa,,,,,nwa,nwä,,nwā,nWa,nwa,,,,,nwa,nwa,,nwa,nwa
ኘ,ña,ña,ñä,,gnă,ñä,n̄ä,ñə,ña,Ne,na,na,na,,gna,na,na,n@,na,ne
ኙ,ñu,ñu,ñu,,gnu,ñu,n̄u,ñu,ñu,Nu,nu,nu,nu,,gnu,nu,nu,nu,nu,nu
ኚ,ñi,ñī,ñi,,gni,ñi,n̄i,ñi,ñi,Ni,ni,ni,ni,,gni,ni,ni,ni,ni,ni
ኛ,ñā,ñā,ña,,gna,ña,n̄a,ña,ñā,Na,na,na,na,,gna,na,na,na,na,na
ኜ,ñé,ñē,ñe,,gne,ñe,n̄e,ñe,ñē,NE,ne,ne,ne,,gne,ne,ne,ne,ne,ne
ኝ,ñe/ñ,ñ/ñi,ñə/ñø,,gnĕ,ñ/ñə,n̄ï,ñɪ,ñe,N,ne/n,n/ni,n@/no,,gne,n/n@,ni,ni,ne,n
ኞ,ño,ño,ño,,gno,ñʷo,n̄o,ño,ño,No,no,no,no,,gno,nwo,no,no,no,no
ኟ,ñwa,,,,,ñwa,n̄wä,,ñwā,NWa,nwa,,,,,nwa,nwa,,nwa,nwa
አ,ʼa,ā,ʾä,ʼa,ʾă,a,ä,a,ʼa,e/a,'a,a,`a,'a,`a,a,a,a,'a,e/a
ኡ,ʼu,u,ʾu,ʼū,ʾu,u,u,u,ʼu,u/U,'u,u,`u,'u,`u,u,u,u,'u,u/u
ኢ,ʼi,ī,ʾi,ʼī,ʾi,i,i,i,ʼi,i,'i,i,`i,'i,`i,i,i,i,'i,i
ኣ,ʼā,ā,ʾa,ā,ʾa,a,a,a,ʼā,A/a,'a,a,`a,a,`a,a,a,a,'a,a/a
ኤ,ʼé,ē,ʾe,ʼē,ʾe,ʸe,e,e,ʼē,E,'e,e,`e,'e,`e,ye,e,e,'e,e
እ,ʼe,i,ʾə/ʾø,ʼe,ʾĕ,ə,ï,ɪ,ʼe,I,'e,i,`@/`o,'e,`e,@,i,i,'e,i
ኦ,ʼo,o,ʾo,ʼō,ʾo,ʷo,o,o,ʼo,o/O,'o,o,`o,'o,`o,wo,o,o,'o,o/o
ኧ,ă,,,,,ɑ-,,,ʼwa,ea,a,,,,,a-,,,'wa,ea
ከ,ka,ka,kä,ka,kă,kɑ,kä,kə,ka,ke,ka,ka,ka,ka,ka,ka,ka,k@,ka,ke
ኩ,ku,ku,ku,kū,ku,ku,ku,ku,ku,ku,ku,ku,ku,ku,ku,ku,ku,ku,ku,ku
ኪ,ki,kī,ki,kī,ki,ki,ki,ki,ki,ki,ki,ki,ki,ki,ki,ki,ki,ki,ki,ki
ካ,kā,kā,ka,kā,ka,ka,ka,ka,kā,ka,ka,ka,ka,ka,ka,ka,ka,ka,ka,ka
ኬ,ké,kē,ke,kē,ke,kʸe,ke,ke,kē,kE,ke,ke,ke,ke,ke,kye,ke,ke,ke,ke
ክ,ke/k,k/ki,kə/kø,ke,kĕ,k/kə,kï,kɪ,ke,k,ke/k,k/ki,k@/ko,ke,ke,k/k@,ki,ki,ke,k
ኮ,ko,ko,ko,kō,ko,kʷo,ko,ko,ko,ko,ko,ko,ko,ko,ko,kwo,ko,ko,ko,ko
ኯ,,,,,,,,,,,,,,,,,,,,
ኰ,kwa,kwa,kuä,kua,kuă,kwå,kwe,kwə,kwa,kWe,kwa,kwa,kua,kua,kua,kwa,kwe,kw@,kwa,kwe
ኲ,kwi,kwī,kui,kuī,kui,kwi,kwi,kwi,kwi,kWi,kwi,kwi,kui,kui,kui,kwi,kwi,kwi,kwi,kwi
ኳ,kwā,kwā,kua,kuā,kua,kwa,kwä,kwa,kwā,kWa,kwa,kwa,kua,kua,kua,kwa,kwa,kwa,kwa,kwa
ኴ,kwé,kwē,kue,kuē,kue,kwe,kwe,kwe,kwē,kWE,kwe,kwe,kue,kue,kue,kwe,kwe,kwe,kwe,kwe
ኵ,kwe,kwi,kuə,kue,kuĕ,kwə/kwŭ,kwï,kwɪ,kwe,kW,kwe,kwi,ku@,kue,kue,kw@/kwu,kwi,kwi,kwe,kw
ⷈ,,,,,,,,,ḱa,‘ke,,,,,,,,,ka,'ke
ⷉ,,,,,,,,,ḱu,‘ku,,,,,,,,,ku,'ku
ⷊ,,,,,,,,,ḱi,‘ki,,,,,,,,,ki,'ki
ⷋ,,,,,,,,,ḱā,‘ka,,,,,,,,,ka,'ka
ⷌ,,,,,,,,,ḱē,‘kE,,,,,,,,,ke,'ke
ⷍ,,,,,,,,,ḱe,‘k,,,,,,,,,ke,'k
ⷎ,,,,,,,,,ḱo,‘ko,,,,,,,,,ko,'ko
ኸ,xa,kha,hä,,khă,hɑ,hä,hə,ḵa,Ke,xa,kha,ha,,kha,ha,ha,h@,ka,ke
ኹ,xu,khu,hu,,khu,hu,hu,hu,ḵu,Ku,xu,khu,hu,,khu,hu,hu,hu,ku,ku
ኺ,xi,khī,hi,,khi,hi,hi,hi,ḵi,Ki,xi,khi,hi,,khi,hi,hi,hi,ki,ki
ኻ,xā,khā,ha,,kha,ha,ha,ha,ḵā,Ka,xa,kha,ha,,kha,ha,ha,ha,ka,ka
ኼ,xé,khē,he,,khe,hʸe,he,he,ḵē,KE,xe,khe,he,,khe,hye,he,he,ke,ke
ኽ,xe/x,kh/khi,hə/hø,,khĕ,h/hə,hï,hɪ,ḵe,K,xe/x,kh/khi,h@/ho,,khe,h/h@,hi,hi,ke,k
ኾ,xo,kho,ho,,kho,hʷo,ho,ho,ḵo,Ko,xo,kho,ho,,kho,hwo,ho,ho,ko,ko
ዀ,,,,,,,,,ḵwa,KWe,,,,,,,,,kwa,kwe
ዂ,,,,,,,,,ḵwi,KWi,,,,,,,,,kwi,kwi
ዃ,,,,,,,hwä,,ḵwā,KWa,,,,,,,hwa,,kwa,kwa
ዄ,,,,,,,,,ḵwē,KWE,,,,,,,,,kwe,kwe
ዅ,,,,,,,,,ḵwe,KW,,,,,,,,,kwe,kw
ⷐ,,,,,,,,,h́a,Xe,,,,,,,,,ha,xe
ⷑ,,,,,,,,,h́u,Xu,,,,,,,,,hu,xu
ⷒ,,,,,,,,,h́i,Xi,,,,,,,,,hi,xi
ⷓ,,,,,,,,,h́ā,Xa,,,,,,,,,ha,xa
ⷔ,,,,,,,,,h́ē,XE,,,,,,,,,he,xe
ⷕ,,,,,,,,,h́e,X,,,,,,,,,he,x
ⷖ,,,,,,,,,h́o,Xo,,,,,,,,,ho,xo
ወ,wa,wa,wä,wa,wă,wå,wä,wə,wa,we,wa,wa,wa,wa,wa,wa,wa,w@,wa,we
ዉ,wu,wu,wu,wū,wu,wu,wu,wu,wu,wu,wu,wu,wu,wu,wu,wu,wu,wu,wu,wu
ዊ,wi,wī,wi,wī,wi,wi,wi,wi,wi,wi,wi,wi,wi,wi,wi,wi,wi,wi,wi,wi
ዋ,wā,wā,wa,wā,wa,wa,wa,wa,wā,wa,wa,wa,wa,wa,wa,wa,wa,wa,wa,wa
ዌ,wé,wē,we,wē,we,wʸe,we,we,wē,wE,we,we,we,we,we,wye,we,we,we,we
ው,we/w,w/wi,wə/wø,we,wĕ,w/wə/wŭ,wï,wɪ,we,w,we/w,w/wi,w@/wo,we,we,w/w@/wu,wi,wi,we,w
ዎ,wo,wo,wo,wō,wo,wo,wo,wo,wo,wo,wo,wo,wo,wo,wo,wo,wo,wo,wo,wo
ዐ,ʻa,ā,ʿä,ʽa,ʿă,a,ä,a,ʻa,‘e,`a,a,'a,`a,'a,a,a,a,`a,'e
ዑ,ʻu,u,ʿu,ʽū,ʿu,u,u,u,ʻu,‘u/‘U,`u,u,'u,`u,'u,u,u,u,`u,'u/'u
ዒ,ʻi,ī,ʿi,ʽī,ʿi,i,i,i,ʻi,‘i,`i,i,'i,`i,'i,i,i,i,`i,'i
