Glyph,USV,ALA-LC,Alone-Stokes,B&D,Campbell,Chaîne,Cohen,Dawkins,Dept of State,ethiop,SERA
ዚ,12DA,zi,zī,zi,zī,zi,zi,zi,zi,zi,zi
ዛ,12DB,zā,zā,za,zā,za,za,za,za,zā,za
ዜ,12DC,zé,zē,ze,zē,ze,zʸe,ze,ze,zē,zE
ዝ,12DD,ze/z,z/zi,zə/zø,ze,zĕ,z/zə,zï,zɪ,ze,z
ዞ,12DE,zo,zo,zo,zō,zo,zʷo,zo,zo,zo,zo
ዟ,12DF,zwa,,,,,zwa,zwä,,zwā,zWa
ዠ,12E0,ža,zha,žä,,jă,žä,zhä,žə,ža,Ze
ዡ,12E1,žu,zhu,žu,,ju,žu,zhu,žu,žu,Zu
ዢ,12E2,ži,zhī,ži,,ji,ži,zhi,ži,ži,Zi
ዣ,12E3,žā,zhā,ža,,ja,ža,zha,ža,žā,Za
ዤ,12E4,žé,zhē,že,,je,že,zhe,že,žē,ZE
ዥ,12E5,že/ž,zh/zhi,žə/žø,,jĕ,ž/žə,zhï,žɪ,že,Z
ዦ,12E6,žo,zho,žo,,jo,žʷo,zho,žo,žo,Zo
ዧ,12E7,žwa,,,,,žwa,zhwä,,žwā,ZWa
የ,12E8,ya,ya,yä,ja,jă,yä,yä,yə,ya,ye
ዩ,12E9,yu,yu,yu,jū,ju,yu,yu,yu,yu,yu
ዪ,12EA,yi,yī,yi,jī,ji,yi,yi,yi,yi,yi
ያ,12EB,yā,yā,ya,jā,ja,ya,ya,ya,yā,ya
ዬ,12EC,yé,yē,ye,jē,je,ye,ye,ye,yē,yE
ይ,12ED,ye/y,y/yi,yə/yø,je,jĕ,y/yə,yï,yɪ,ye,y
ዮ,12EE,yo,yo,yo,jō,jo,yo,yo,yo,yo,yo
ደ,12F0,da,da,dä,da,dă,dɑ,dä,də,da,de
ዱ,12F1,du,du,du,dū,du,du,du,du,du,du
ዲ,12F2,di,dī,di,dī,di,di,di,di,di,di
ዳ,12F3,dā,dā,da,dā,da,da,da,da,dā,da
ዴ,12F4,dé,dē,de,dē,de,dʸe,de,de,dē,dE
ድ,12F5,de/d,d/di,də/dø,de,dĕ,d/də,dï,dɪ,de,d
ዶ,12F6,do,do,do,dō,do,dʷo,do,do,do,do
ዷ,12F7,dwa,,,,,dwa,dwä,,dwā,dWa
ዸ,12F8,,,,,,,,,ḍa,De
ዹ,12F9,,,,,,,,,ḍu,Du
ዺ,12FA,,,,,,,,,ḍi,Di
ዻ,12FB,,,,,,,,,ḍā,Da
ዼ,12FC,,,,,,,,,ḍē,DE
ዽ,12FD,,,,,,,,,ḍe,D
ዾ,12FE,,,,,,,,,ḍo,Do
ዿ,12FF,,,,,,,,,ḍwā,DWa
ጀ,1300,ǧa,ja,ǧä,,djă,ǧä,jä,jə,ǧa,je
ጁ,1301,ǧu,ju,ǧu,,dju,ǧu,ju,ju,ǧu,ju
ጂ,1302,ǧi,jī,ǧi,,dji,ǧi,ji,ji,ǧi,ji
ጃ,1303,ǧā,jā,ǧa,,dja,ǧa,ja,ja,ǧā,ja
ጄ,1304,ǧé,jē,ǧe,,dje,ǧe,je,je,ǧē,jE
ጅ,1305,ǧe/ǧ,j/ji,ǧə/ǧø,,djĕ,ǧ/ǧə,jï,jɪ,ǧe,j
ጆ,1306,ǧo,jo,ǧo,,djo,ǧʷo,jo,jo,ǧo,jo
ጇ,1307,ǧwa,,,,,ǧwa,jwä,,ǧwā,jWa
ገ,1308,ga,ga,gä,ga,gă,gɑ,gä,gə,ga,ge
ጉ,1309,gu,gu,gu,gū,gu,gu,gu,gu,gu,gu
ጊ,130A,gi,gī,gi,gī,gi,gi,gi,gi,gi,gi
ጋ,130B,gā,gā,ga,gā,ga,ga,ga,ga,gā,ga
ጌ,130C,gé,gē,ge,gē,ge,gʸe,ge,ge,gē,gE
ግ,130D,ge/g,g/gi,gə/gø,ge,gĕ,g/gə,gï,gɪ,ge,g
ጎ,130E,go,go,go,gō,go,gʷo,go,go,go,go
ጐ,1310,gwa,gwa,guä,gua,guă,gwå,gwe,gwə,gwa,gWe
ጒ,1312,gwi,gwī,gui,guī,gui,gwi,gwi,gwi,gwi,gWi
